model,recording,joint,units,minimum,maximum,source,source_sha256
V1,crab,6,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,7,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,0,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,1,logical degrees,45.0,100.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,2,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,5,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,6,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_forward,7,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,0,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,1,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,2,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,5,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
